Tracker;Operation on;Type;Occurrences
9;GET_INDEXED;org.graalvm.compiler.nodes.EntryMarkerNode;40
9;GET_INDEXED;org.graalvm.compiler.nodes.java.MonitorEnterNode;268
9;GET_INDEXED;org.graalvm.compiler.nodes.java.MethodCallTargetNode;33380
9;GET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualBoxingNode;23
9;GET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualArrayNode;120
9;GET_INDEXED;org.graalvm.compiler.nodes.memory.ReadNode;19807
9;GET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualInstanceNode;288
9;GET_INDEXED;org.graalvm.compiler.nodes.java.ValueCompareAndSwapNode;134
9;GET_INDEXED;org.graalvm.compiler.nodes.BeginNode;106034
9;GET_INDEXED;org.graalvm.compiler.nodes.IfNode;42399
9;GET_INDEXED;org.graalvm.compiler.nodes.extended.IntegerSwitchNode;251
9;ADD_OBJ;org.graalvm.collections.list.statistics.NoObject;467670
10;ADD_OBJ;jdk.vm.ci.hotspot.HotSpotResolvedJavaMethodImpl;17525
11;ADD_OBJ;org.graalvm.compiler.debug.TimerKeyImpl$FlatTimer;94
11;ADD_OBJ;org.graalvm.compiler.debug.TimerKeyImpl;94
14;ADD_OBJ;org.graalvm.compiler.code.DataSection$SerializableData;263
14;ADD_OBJ;org.graalvm.compiler.hotspot.HotSpotDataBuilder$1;115
15;ADD_OBJ;jdk.vm.ci.code.site.Call;4241
15;ADD_OBJ;jdk.vm.ci.code.site.Infopoint;1865
16;ADD_OBJ;org.graalvm.compiler.code.SourceMapping;44
17;ADD_OBJ;jdk.vm.ci.code.site.DataPatch;3827
19;ADD_OBJ;jdk.vm.ci.code.site.Mark;3608
20;ADD_OBJ;org.graalvm.compiler.lir.dfa.MarkBasePointersPhase;426
20;ADD_OBJ;org.graalvm.compiler.lir.alloc.SaveCalleeSaveRegisters;426
20;ADD_OBJ;org.graalvm.compiler.lir.NullCheckOptimizer;426
20;ADD_OBJ;org.graalvm.compiler.lir.dfa.LocationMarkerPhase;426
20;ADD_OBJ;org.graalvm.compiler.lir.constopt.ConstantLoadOptimization;426
20;ADD_OBJ;org.graalvm.compiler.lir.EdgeMoveOptimizer;426
20;ADD_OBJ;org.graalvm.compiler.lir.stackslotalloc.LSStackSlotAllocator;426
20;ADD_OBJ;org.graalvm.compiler.lir.amd64.phases.StackMoveOptimizationPhase;426
20;ADD_OBJ;org.graalvm.compiler.lir.ControlFlowOptimizer;426
20;ADD_OBJ;org.graalvm.compiler.lir.alloc.lsra.LinearScanPhase;426
20;ADD_OBJ;org.graalvm.compiler.lir.RedundantMoveElimination;426
22;GET_INDEXED;org.graalvm.compiler.java.BciBlockMapping$ExceptionDispatchBlock;2
22;GET_INDEXED;org.graalvm.compiler.java.BciBlockMapping$BciBlock;111696
22;ADD_OBJ;org.graalvm.compiler.java.BciBlockMapping$ExceptionDispatchBlock;11416
22;ADD_OBJ;org.graalvm.compiler.java.BciBlockMapping$BciBlock;156630
23;ADD_OBJ;org.graalvm.compiler.nodes.cfg.HIRLoop;9649
24;GET_INDEXED;org.graalvm.compiler.hotspot.replacements.ClassGetHubNode;3
24;GET_INDEXED;org.graalvm.compiler.hotspot.nodes.EndLockScopeNode;396
24;GET_INDEXED;org.graalvm.compiler.hotspot.replacements.arraycopy.CheckcastArrayCopyCallNode;1
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.ObjectEqualsNode;407
24;GET_INDEXED;org.graalvm.compiler.nodes.extended.NullCheckNode;317
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.AndNode;3028
24;GET_INDEXED;org.graalvm.compiler.nodes.extended.OSRLocalNode;640
24;GET_INDEXED;org.graalvm.compiler.nodes.extended.MembarNode;3985
24;GET_INDEXED;org.graalvm.compiler.nodes.DynamicDeoptimizeNode;2253
24;GET_INDEXED;org.graalvm.compiler.word.WordCastNode;2284
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.SubNode;6992
24;GET_INDEXED;org.graalvm.compiler.hotspot.nodes.AcquiredCASLockNode;168
