Tracker;Operation on;Type;Occurrences
17;ADD_OBJ;jdk.vm.ci.code.site.DataPatch;25645
19;ADD_OBJ;jdk.vm.ci.code.site.Mark;32335
20;ADD_OBJ;org.graalvm.compiler.lir.dfa.MarkBasePointersPhase;2239
20;ADD_OBJ;org.graalvm.compiler.lir.EdgeMoveOptimizer;2239
20;ADD_OBJ;org.graalvm.compiler.lir.NullCheckOptimizer;2239
20;ADD_OBJ;org.graalvm.compiler.lir.dfa.LocationMarkerPhase;2239
20;ADD_OBJ;org.graalvm.compiler.lir.ControlFlowOptimizer;2239
20;ADD_OBJ;org.graalvm.compiler.lir.RedundantMoveElimination;2239
20;ADD_OBJ;org.graalvm.compiler.lir.constopt.ConstantLoadOptimization;2239
20;ADD_OBJ;org.graalvm.compiler.lir.stackslotalloc.LSStackSlotAllocator;2239
20;ADD_OBJ;org.graalvm.compiler.lir.alloc.lsra.LinearScanPhase;2239
20;ADD_OBJ;org.graalvm.compiler.lir.amd64.phases.StackMoveOptimizationPhase;2239
20;ADD_OBJ;org.graalvm.compiler.lir.alloc.SaveCalleeSaveRegisters;2239
22;GET_INDEXED;org.graalvm.compiler.java.BciBlockMapping$BciBlock;382855
22;ADD_OBJ;org.graalvm.compiler.java.BciBlockMapping$BciBlock;519989
22;ADD_OBJ;org.graalvm.compiler.java.BciBlockMapping$ExceptionDispatchBlock;13888
23;ADD_OBJ;org.graalvm.compiler.nodes.cfg.HIRLoop;42808
24;GET_INDEXED;org.graalvm.compiler.nodes.BeginNode;507616
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.IntegerLessThanNode;28595
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.PointerEqualsNode;39409
24;GET_INDEXED;org.graalvm.compiler.nodes.DynamicDeoptimizeNode;20336
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.IsNullNode;94055
24;GET_INDEXED;org.graalvm.compiler.hotspot.replacements.arraycopy.ArrayCopyCallNode;323
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.SubNode;3004
24;GET_INDEXED;org.graalvm.compiler.virtual.nodes.VirtualObjectState;5960
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.SignExtendNode;6984
24;GET_INDEXED;org.graalvm.compiler.nodes.java.DynamicNewArrayNode;88
24;GET_INDEXED;org.graalvm.compiler.nodes.extended.JavaWriteNode;239
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.NarrowNode;2498
24;GET_INDEXED;org.graalvm.compiler.nodes.java.ValueCompareAndSwapNode;400
24;GET_INDEXED;org.graalvm.compiler.nodes.extended.LoadMethodNode;30
24;GET_INDEXED;org.graalvm.compiler.hotspot.nodes.JumpToExceptionHandlerNode;5
24;GET_INDEXED;org.graalvm.compiler.nodes.virtual.CommitAllocationNode;4001
24;GET_INDEXED;org.graalvm.compiler.nodes.LoopEndNode;17236
24;GET_INDEXED;org.graalvm.compiler.core.amd64.AMD64AddressNode;82589
24;GET_INDEXED;org.graalvm.compiler.hotspot.replacements.KlassLayoutHelperNode;351
24;GET_INDEXED;org.graalvm.compiler.replacements.nodes.ReadRegisterNode;6348
24;GET_INDEXED;org.graalvm.compiler.hotspot.replacements.ClassGetHubNode;402
24;GET_INDEXED;org.graalvm.compiler.hotspot.word.PointerCastNode;2880
24;GET_INDEXED;org.graalvm.compiler.nodes.ReturnNode;35405
24;GET_INDEXED;org.graalvm.compiler.nodes.java.MonitorEnterNode;94
24;GET_INDEXED;org.graalvm.compiler.replacements.nodes.ArrayEqualsNode;190
24;GET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualInstanceNode;8922
24;GET_INDEXED;org.graalvm.compiler.nodes.java.StoreFieldNode;4333
24;GET_INDEXED;org.graalvm.compiler.nodes.InvokeNode;66073
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.FloatDivNode;130
24;GET_INDEXED;org.graalvm.compiler.nodes.extended.StoreHubNode;31
24;GET_INDEXED;org.graalvm.compiler.nodes.PrefetchAllocateNode;7344
24;GET_INDEXED;org.graalvm.compiler.hotspot.replacements.HubGetClassNode;204
24;GET_INDEXED;org.graalvm.compiler.nodes.IfNode;254539
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.XorNode;1106
24;GET_INDEXED;org.graalvm.compiler.nodes.java.AtomicReadAndAddNode;25
24;GET_INDEXED;org.graalvm.compiler.nodes.java.DynamicNewInstanceNode;3
24;GET_INDEXED;org.graalvm.compiler.nodes.FixedGuardNode;25918
24;GET_INDEXED;org.graalvm.compiler.hotspot.replacements.IdentityHashCodeNode;35
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.AddNode;52401
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.FloatLessThanNode;723
24;GET_INDEXED;org.graalvm.compiler.nodes.StartNode;11247
24;GET_INDEXED;org.graalvm.compiler.nodes.memory.address.OffsetAddressNode;176439
24;GET_INDEXED;org.graalvm.compiler.nodes.java.NewArrayNode;997
24;GET_INDEXED;org.graalvm.compiler.replacements.amd64.AMD64StringIndexOfNode;5
24;GET_INDEXED;org.graalvm.compiler.nodes.virtual.AllocatedObjectNode;4179
24;GET_INDEXED;org.graalvm.compiler.nodes.LoopBeginNode;11761
24;GET_INDEXED;org.graalvm.compiler.nodes.extended.LoadHubNode;15777
24;GET_INDEXED;org.graalvm.compiler.nodes.ConstantNode;164328
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.IntegerBelowNode;26151
24;GET_INDEXED;org.graalvm.compiler.nodes.memory.WriteNode;77484
24;GET_INDEXED;org.graalvm.compiler.nodes.PiNode$Placeholder;18
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.MulNode;275
24;GET_INDEXED;org.graalvm.compiler.nodes.FrameState;199000
24;GET_INDEXED;org.graalvm.compiler.nodes.java.ClassIsAssignableFromNode;72
24;GET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualBoxingNode;90
24;GET_INDEXED;org.graalvm.compiler.nodes.LoopExitNode;68369
24;GET_INDEXED;org.graalvm.compiler.replacements.nodes.BinaryMathIntrinsicNode;7
24;GET_INDEXED;org.graalvm.compiler.nodes.java.NewInstanceNode;2357
24;GET_INDEXED;org.graalvm.compiler.nodes.java.MonitorExitNode;337
24;GET_INDEXED;org.graalvm.compiler.nodes.java.LoadFieldNode;31540
24;GET_INDEXED;org.graalvm.compiler.nodes.memory.ReadNode;88322
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.NegateNode;63
24;GET_INDEXED;org.graalvm.compiler.nodes.java.MonitorIdNode;495
24;GET_INDEXED;org.graalvm.compiler.nodes.java.RawMonitorEnterNode;193
24;GET_INDEXED;org.graalvm.compiler.nodes.ParameterNode;27684
24;GET_INDEXED;org.graalvm.compiler.hotspot.nodes.BeginLockScopeNode;200
24;GET_INDEXED;org.graalvm.compiler.nodes.java.MethodCallTargetNode;13218
24;GET_INDEXED;org.graalvm.compiler.nodes.extended.ForeignCallNode;6938
24;GET_INDEXED;org.graalvm.compiler.nodes.java.InstanceOfDynamicNode;499
24;GET_INDEXED;org.graalvm.compiler.nodes.extended.FixedValueAnchorNode;7121
24;GET_INDEXED;org.graalvm.compiler.hotspot.nodes.AcquiredCASLockNode;200
24;GET_INDEXED;org.graalvm.compiler.nodes.java.LogicCompareAndSwapNode;870
24;GET_INDEXED;org.graalvm.compiler.hotspot.nodes.GetObjectAddressNode;806
24;GET_INDEXED;org.graalvm.compiler.replacements.nodes.BitCountNode;75
24;GET_INDEXED;org.graalvm.compiler.nodes.java.InstanceOfNode;15231
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.UnsignedRightShiftNode;8215
24;GET_INDEXED;org.graalvm.compiler.nodes.memory.MemoryAnchorNode;7507
24;GET_INDEXED;org.graalvm.compiler.nodes.extended.NullCheckNode;3268
24;GET_INDEXED;org.graalvm.compiler.nodes.java.ArrayLengthNode;1648
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.AndNode;7137
24;GET_INDEXED;org.graalvm.compiler.hotspot.replacements.arraycopy.CheckcastArrayCopyCallNode;1
24;GET_INDEXED;org.graalvm.compiler.nodes.ShortCircuitOrNode;4607
24;GET_INDEXED;org.graalvm.compiler.nodes.PiArrayNode;454
24;GET_INDEXED;org.graalvm.compiler.word.WordCastNode;11798
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.ConditionalNode;6206
24;GET_INDEXED;org.graalvm.compiler.nodes.extended.UnsafeMemoryLoadNode;354
24;GET_INDEXED;org.graalvm.compiler.hotspot.nodes.FastAcquireBiasedLockNode;200
24;GET_INDEXED;org.graalvm.compiler.nodes.MergeNode;80484
24;GET_INDEXED;org.graalvm.compiler.hotspot.nodes.CurrentLockNode;226
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.RightShiftNode;2477
24;GET_INDEXED;org.graalvm.compiler.nodes.java.UnsafeCompareAndSwapNode;6
24;GET_INDEXED;org.graalvm.compiler.nodes.extended.RawStoreNode;60
24;GET_INDEXED;org.graalvm.compiler.nodes.DeoptimizeNode;53991
24;GET_INDEXED;org.graalvm.compiler.nodes.extended.BoxNode;67
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.OrNode;4732
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.ReinterpretNode;140
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.FloatConvertNode;166
24;GET_INDEXED;org.graalvm.compiler.nodes.UnwindNode;40
24;GET_INDEXED;org.graalvm.compiler.nodes.extended.UnboxNode;230
24;GET_INDEXED;org.graalvm.compiler.replacements.amd64.AMD64CountLeadingZerosNode;245
24;GET_INDEXED;org.graalvm.compiler.replacements.amd64.AMD64FloatConvertNode;4
24;GET_INDEXED;org.graalvm.compiler.hotspot.nodes.HotSpotDirectCallTargetNode;50691
24;GET_INDEXED;org.graalvm.compiler.hotspot.nodes.HotSpotIndirectCallTargetNode;2164
24;GET_INDEXED;org.graalvm.compiler.hotspot.nodes.StubForeignCallNode;40
24;GET_INDEXED;org.graalvm.compiler.nodes.extended.GetClassNode;225
24;GET_INDEXED;org.graalvm.compiler.nodes.java.FinalFieldBarrierNode;192
24;GET_INDEXED;org.graalvm.compiler.hotspot.nodes.EndLockScopeNode;452
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.FloatEqualsNode;365
24;GET_INDEXED;org.graalvm.compiler.nodes.extended.ValueAnchorNode;3934
24;GET_INDEXED;org.graalvm.compiler.nodes.extended.RawLoadNode;493
24;GET_INDEXED;org.graalvm.compiler.nodes.DynamicPiNode;12
24;GET_INDEXED;org.graalvm.compiler.nodes.extended.StateSplitProxyNode;232
24;GET_INDEXED;org.graalvm.compiler.nodes.PiNode;144466
24;GET_INDEXED;org.graalvm.compiler.hotspot.nodes.JumpToExceptionHandlerInCallerNode;5
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.IntegerTestNode;5620
24;GET_INDEXED;org.graalvm.compiler.hotspot.replacements.arraycopy.ArrayCopyNode;145
24;GET_INDEXED;org.graalvm.compiler.nodes.memory.FloatingReadNode;136396
24;GET_INDEXED;org.graalvm.compiler.nodes.extended.JavaReadNode;245
24;GET_INDEXED;org.graalvm.compiler.nodes.SafepointNode;4145
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.ZeroExtendNode;24545
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.NormalizeCompareNode;93
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.LeftShiftNode;23059
24;GET_INDEXED;org.graalvm.compiler.hotspot.nodes.CurrentJavaThreadNode;30
24;GET_INDEXED;org.graalvm.compiler.replacements.nodes.MethodHandleNode;3
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.NotNode;846
24;GET_INDEXED;org.graalvm.compiler.nodes.PiArrayNode$Placeholder;13
24;GET_INDEXED;org.graalvm.compiler.hotspot.nodes.StubStartNode;40
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.SignedRemNode;10
24;GET_INDEXED;org.graalvm.compiler.nodes.extended.MembarNode;14770
24;GET_INDEXED;org.graalvm.compiler.hotspot.nodes.PatchReturnAddressNode;5
24;GET_INDEXED;org.graalvm.compiler.virtual.nodes.MaterializedObjectState;5688
24;GET_INDEXED;org.graalvm.compiler.hotspot.nodes.SerialWriteBarrier;2824
24;GET_INDEXED;org.graalvm.compiler.nodes.virtual.VirtualArrayNode;290
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.ObjectEqualsNode;7485
24;GET_INDEXED;org.graalvm.compiler.replacements.nodes.BitScanForwardNode;170
24;GET_INDEXED;org.graalvm.compiler.hotspot.replacements.ObjectCloneNode;33
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.IntegerEqualsNode;40194
24;GET_INDEXED;org.graalvm.compiler.nodes.java.StoreIndexedNode;1309
24;GET_INDEXED;org.graalvm.compiler.hotspot.nodes.HotSpotCompressionNode;92263
24;GET_INDEXED;org.graalvm.compiler.hotspot.replacements.arraycopy.ArrayCopyWithSlowPathNode;67
24;GET_INDEXED;org.graalvm.compiler.nodes.calc.SignedDivNode;35
24;GET_INDEXED;org.graalvm.compiler.nodes.EndNode;263436
24;GET_INDEXED;org.graalvm.compiler.nodes.java.RegisterFinalizerNode;190
24;GET_INDEXED;org.graalvm.compiler.nodes.java.LoadIndexedNode;5121
24;GET_INDEXED;org.graalvm.compiler.hotspot.nodes.DeoptimizeCallerNode;30
24;GET_INDEXED;org.graalvm.compiler.nodes.extended.IntegerSwitchNode;2043
24;GET_INDEXED;org.graalvm.compiler.nodes.java.TypeSwitchNode;6930
24;ADD_OBJ;org.graalvm.compiler.nodes.calc.IntegerLessThanNode;53181
